qid,vid_name,q,a0,a1,a2,a3,answer_idx,chunk_ids,oracle_idx
0a2lv4IwZFY_q1_9,0a2lv4IwZFY,"why does one women laugh and the other does not , what can be interpreted about their personalities from this?","The sitting woman is a pessimist, while the standing woman is an optimist.","The sitting woman is boring, while the standing woman is hilarious.","The sitting woman seems boring, while the standing woman seems more fun",one of them finds it funny other finds it sad,2,"[0, 1, 2, 3, 4]",1
0a2lv4IwZFY_q5_6,0a2lv4IwZFY,why is no one feeling sad for the person trapped?,they cannot help him so they are focusing on other things,"Because they are watching him suffer in the context of a funny video, so it is harder to feel sympathy for him",They are too busy enjoying the activities to notice the trapped person.,Someone else wants to help him out of the trap.,1,"[0, 1, 2, 3, 4]",1
0djStqAuc_E_q5_7,0djStqAuc_E,Is the talk show host excited to meet the taxi driver?,The talk show host is annoyed with the taxi driver.,"No, he yells at the taxi driver because the driver was late to pick","Yes, he talks excitedly",The talk show host is impressed with the taxi driver's driving skills.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2
0djStqAuc_E_q7_3,0djStqAuc_E,Is the taxi driver excited to meet the talk show host?,The taxi driver is a big fan of the talk show host.,The taxi driver feels awkward around the talk show host.,He does not seem especially excited,Is the taxi driver thrilled to meet the famous host? He seems to be jumping in anticipation.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2
0djStqAuc_E_q6_0,0djStqAuc_E,What did the taxi driver feel when the two people entered his car with a keyboard?,He is amazed by the keyboard playing.,He is excited to hear the keyboard.,He was confused as to why one of them brought a keyboard.,"He felt happy to meet them, willing to take them around the city.",3,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2
0djStqAuc_E_q4_0,0djStqAuc_E,What was the man in the video doing that made the crowd laugh in the beginning?,He was juggling oranges that made the crowd laugh.,He was making entertaining gestures while speaking.,He made a hilarious statement about being eco-friendly.,He was wearing a funny hat that made the crowd laugh.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2
0djStqAuc_E_q1_0,0djStqAuc_E,Why did the crowd cheer at the man in the video?,The crowd is cheering for the taxi cab.,The crowd is happy about the idea of a mini talk show.,"They felt complimented and agree with what he said, in which they're the best people to meet.",They were excited with what he was going to host soon.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2
0djStqAuc_E_q8_0,0djStqAuc_E,Why does the audience cheer?,The audience cheers because the man in the suit is wearing a funny hat.,The audience cheers because the man mentioned their favorite food.,The audience cheers because the man mentioned the town where they were from.,The audience cheers because they like the place the man mentioned.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2
0djStqAuc_E_q2_0,0djStqAuc_E,Why does the man in white ask how the man in grey was feeling?,He asked because he wanted to know the weather.,He asked because it is a social nicety.,He asked because he was interested in the man in grey.,He asked because he wanted to know the time.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2
0djStqAuc_E_q3_5,0djStqAuc_E,Why does the talk show host want to talk to the taxi driver?,To meet the people of Brooklyn,He is asking the taxi driver for directions to a restaurant.,They are discussing the weather in Brooklyn.,if this taxi driver should be the one to go onto the talk show,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2
0gcuigYJ2cw_q7_0,0gcuigYJ2cw,Does the woman agree with the man?,Yes the woman nods her head as he speaks and voices her agreement with his opinion.,The woman agrees with the man because she thinks he is knowledgeable about the topic.,The woman has a completely different opinion than the man's.,The woman disagrees with the man's suggestion.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",8
0gcuigYJ2cw_q8_4,0gcuigYJ2cw,How does the man feel while speaking?,"The man is a bit nervous, but he enjoys the challenge.",The man is excited to go on vacation.,The man feels confident about the idea that he is proposing.,The man feels confident,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",8
0gcuigYJ2cw_q4_0,0gcuigYJ2cw,How does the woman feel about the man's idea?,The woman is indifferent to the man's idea.,She feels passionate about it because she agrees with it.,She thinks it is a good idea and is happy.,The woman is confused about the man's idea.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",8
0gcuigYJ2cw_q3_6,0gcuigYJ2cw,How does the woman react when the man references complexity?,She is glad that he brought up such an idea.,The woman laughs at the man's suggestion.,The woman suggests a completely different topic to discuss.,The woman nods when the man references complexity,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",8
0gcuigYJ2cw_q6_3,0gcuigYJ2cw,Is the man enthusiastic about the topic he is speaking about?,The man suggests using Skype to record audio or video interviews and posting them on Instagram.,Is the man interested in the topic he is speaking about.,"Yes, the man believes a lot in the topic he speaks about",The man is not very excited about the idea.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",8
0gcuigYJ2cw_q5_0,0gcuigYJ2cw,What is the woman's attitude as she listens to the man speak?,The woman doesn't completely agree with the man's suggestion.,The woman thinks the man's suggestion is a waste of time.,The woman's attitude as she listens to the man speak is respectful and attentive.,The woman's attitude is interested in the man as he speaks.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",8
0gcuigYJ2cw_q1_0,0gcuigYJ2cw,Why did the man widen his eyes and raise his eyebrows?,He was excited about what he is saying,He is amazed by the woman's knowledge of the subject.,He is surprised,He was confused by the woman's suggestion.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",8
0gcuigYJ2cw_q2_0,0gcuigYJ2cw,Why was the lady nodding while the man was speaking?,The woman was checking her phone during the conversation.,To show that she was following along,The lady was taking notes while the man was speaking.,Because she was interested in the man's talking.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",8
17PtS1Qx8kU_q3_2,17PtS1Qx8kU,Does the man in black feel lucky?,The man in black feels lucky but proud of his work.,The man in black does not feel lucky because he knows his success comes from having money.,The man in black felt what the black man felt.,The man in black is discussing the weather.,0,"[0, 1, 2, 3, 4, 5]",2
17PtS1Qx8kU_q7_4,17PtS1Qx8kU,The man in the grey shirt's nodding suggests that he,The man in grey's nodding means he wants the man in black to continue speaking.,He nods to indicate he disagrees.,He nods in agreement.,the man in black that he needs to wrap up his speech quickly.,0,"[0, 1, 2, 3, 4, 5]",2
17PtS1Qx8kU_q5_0,17PtS1Qx8kU,The man on the left was mentioning about some features he launched for his product. What did he feel about the platform that he launched such features on?,He was confused about the platform and its capabilities.,The man on the left was a little disappointed at the platform given its rate of development.,He was disappointed with the platform and its performance.,He was surprised and thankful that the platform developed in the same fashion as his product.,3,"[0, 1, 2, 3, 4, 5]",2
17PtS1Qx8kU_q8_0,17PtS1Qx8kU,The man on the left's fidgeting movements suggest that he was,feeling a little nervous,The man on the left's fidgeting movements suggest that he was agitated by something unrelated to the situation at hand.,He is not feeling nervous.,He is trying to stay awake.,0,"[0, 1, 2, 3, 4, 5]",2
17PtS1Qx8kU_q2_0,17PtS1Qx8kU,What did the man on the left think about the particular platform he used for his product?,He thinks that the platform is not user-friendly.,"He thought that it was great for the product itself, but he wanted something more for the new features it has.",He thought that it was enough even to support the core product.,He thinks that the platform is not worth the investment.,1,"[0, 1, 2, 3, 4, 5]",2
17PtS1Qx8kU_q4_9,17PtS1Qx8kU,Why did the man on the left move his hand along his leg?,The man on the left moves his hand along his leg because he wants to be more comfortable on the stool.,The man on the left is trying to hide something in his pocket.,The man on the left is trying to distract the other man with his hand movements.,He was trying to get the other man to talk to him.,0,"[0, 1, 2, 3, 4, 5]",2
17PtS1Qx8kU_q1_3,17PtS1Qx8kU,Why does the man in black want to expand his company?,The man in black wants to show that he agrees with what the man in the hat is saying to expand his company.,The man in black wants to expand his company so that he can become more successful and famous.,There is no incorrect answer mentioned in the given question.,The man in black wants to hire more employees to decorate his office.,1,"[0, 1, 2, 3, 4, 5]",2
17PtS1Qx8kU_q6_3,17PtS1Qx8kU,Why was the timeline the man in black looked at earlier funny?,The man thought the timeline was funny because it coincided with his own company's growth.,The man in plaid finds the timeline amusing because it reminds him of a joke.,The man in the suit is laughing because he spilled coffee on his pants.,The timeline was funny to the man in black because it had jokes about his company.,0,"[0, 1, 2, 3, 4, 5]",2
1GJqfyzfCWU_q4_0,1GJqfyzfCWU,Is the woman happy?,Yes she is speechless and smiling,"No, she's actually sad she couldn't find her favorite book on the shelf.",The woman is allergic to dogs.,The woman is scared of the puppies.,0,"[0, 1, 2, 3, 4, 5]",2
1GJqfyzfCWU_q3_3,1GJqfyzfCWU,Why does the woman in the gray cut short her conversation with the woman in blue?,She likes the woman in blue and wishes to talk with her,The woman in gray needs to use the restroom urgently.,The woman in gray is bored with the conversation and wants to leave.,The woman in grey wants to play with the puppies.,3,"[0, 1, 2, 3, 4, 5]",2
1GJqfyzfCWU_q5_4,1GJqfyzfCWU,Why does the woman in the gray hold multiple puppies in her arms?,The woman is picking up the puppies because she likes puppies.,from running around.,The woman is holding the puppies to keep them away from the cats.,The woman in gray is holding the puppies because she loves them.,0,"[0, 1, 2, 3, 4, 5]",2
1GJqfyzfCWU_q1_10,1GJqfyzfCWU,Why is the woman surprised when she sees the puppies?,The woman is surprised because she does not like puppies and they are in her house.,The woman is surprised because the man unexpectedly brought a dozen cats into her house.,The woman is surprised because the man unexpectedly brought a dozen snakes into her house.,The woman is surprised because the man unexpectedly brought the puppies into her house.,3,"[0, 1, 2, 3, 4, 5]",2
1GJqfyzfCWU_q2_0,1GJqfyzfCWU,Why is the woman surprised?,She is surprised because the man did not tell her there would be a lot of puppies,She is surprised because she thought the puppies would be older and more well-behaved than they actually are.,They seem shocked and overwhelmed.,She is surprised because she didn't expect to see so many puppies.,0,"[0, 1, 2, 3, 4, 5]",2
1YFLBjR-swo_q1_6,1YFLBjR-swo,How come the man in the striped tie mocked someone else?,"Yes, he found it amusing to mock him.",He is being critical of the person.,He mocked someone else to highlight the idiosyncrasies in that,He doesn't respect him.,3,"[0, 1, 2, 3, 4, 5]",3
1YFLBjR-swo_q2_10,1YFLBjR-swo,Is the man in the red tie confused?,The man in the red tie is somewhat confident.,"Yes, the man in the red tie is confused.",The man in the red tie is angry.,"The man in the red tie is not confused at all, he is very confident.",1,"[0, 1, 2, 3, 4, 5]",3
1YFLBjR-swo_q4_8,1YFLBjR-swo,Why didn't the man in the red tie answer the question?,He felt weird.,The man in the red tie was distracted by his phone.,The man in the red tie didn't answer the question because he didn't want,The man in the red tie felt uncomfortable in his suit.,0,"[0, 1, 2, 3, 4, 5]",3
1YFLBjR-swo_q3_0,1YFLBjR-swo,Why does the audience laugh?,They are mocking the man in blue.,The audience laughs because the man in blue is poking fun at the other man.,They find the joke that the man in blue makes funny.,The man in blue is presenting himself in a funny way.,2,"[0, 1, 2, 3, 4, 5]",3
1YFLBjR-swo_q5_11,1YFLBjR-swo,Why does the man in black raise his voice?,He was unhappy.,The man is excited about the topic being discussed.,The man in black raises his voice because he is angry.,The man is angry about the topic being discussed.,0,"[0, 1, 2, 3, 4, 5]",3
1YOzwKKbuPo_q2_0,1YOzwKKbuPo,Are the three actors close?,The women in the video are sisters.,Yes because they are hanging out.,"Yes, they seem very comfortable around each other. They are not afraid to call each other out. Their laughs are genuine. They make weird faces at each other.",They are close colleagues working on a project together.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1
1YOzwKKbuPo_q1_0,1YOzwKKbuPo,How do the three people feel about each other?,The two women are secretly plotting against the man.,The people like each other.,The three people are happy and friendly towards each other.,The two women are nodding their heads to emphasize how funny the man's joke was.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1
1YOzwKKbuPo_q5_4,1YOzwKKbuPo,Is the girl in the middle impressed with the story the guy in the black told?,Yes she was extremely unimpressed and thought the story was boring and pointless.,The girl in the middle is bored with the story the guy in the black told.,The girl in the middle laughs because she finds the story interesting.,She is not impressed,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1
1YOzwKKbuPo_q3_0,1YOzwKKbuPo,What does the girl feel about the situation?,The girl is happy to be there.,girl is happy to be there.,The girl's mood changes from happy to anxious.,The girl is annoyed by the noise.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1
